end_gy,peak_velocity,sd,end_gx,type,start_gy,mean_gx,end_time,start_gx,amplitude,blink_id,rms,duration,mean_gy,start_time,end_point
,,,,blink,,,624055.1434759999,,,239.0,,,,624054.9975445,
,,,,blink,,,624055.4890920001,,,240.0,,,,624055.3403975,
,,,,blink,,,624057.151827,,,241.0,,,,624057.0126359999,
,,,,blink,,,624058.94208,,,242.0,,,,624058.7819125,
,,,,blink,,,624059.416044,,,243.0,,,,624059.274343,
,,,,blink,,,624060.396751,,,244.0,,,,624060.2507895001,
,,,,blink,,,624061.0066035,,,245.0,,,,624060.8995165,
,,,,blink,,,624062.034944,,,246.0,,,,624061.882794,
,,,,blink,,,624062.4944275001,,,247.0,,,,624062.3617085,
,,,,blink,,,624063.7081195,,,248.0,,,,624063.57031,
,,,,blink,,,624064.772886,,,249.0,,,,624064.634705,
,,,,blink,,,624065.20699,,,250.0,,,,624065.0460049999,
,,,,blink,,,624065.806094,,,251.0,,,,624065.6469035,
,,,,blink,,,624067.8407945,,,252.0,,,,624067.7017359999,
,,,,blink,,,624069.1342714999,,,253.0,,,,624068.9870354999,
,,,,blink,,,624069.8594394999,,,254.0,,,,624069.7212255,
,,,,blink,,,624070.359179,,,255.0,,,,624070.1879334999,
,,,,blink,,,624070.65314,,,256.0,,,,624070.512659,
,,,,blink,,,624071.3905239999,,,257.0,,,,624071.2509725001,
,,,,blink,,,624071.820914,,,258.0,,,,624071.681638,
,,,,blink,,,624072.270842,,,259.0,,,,624072.0986494999,
,,,,blink,,,624073.2161655,,,260.0,,,,624073.0683124999,
,,,,blink,,,624074.4844185,,,261.0,,,,624074.3497649999,
,,,,blink,,,624076.234626,,,262.0,,,,624076.073693,
,,,,blink,,,624076.7387295,,,263.0,,,,624076.587922,
,,,,blink,,,624078.324708,,,264.0,,,,624078.1781695,
,,,,blink,,,624079.551563,,,265.0,,,,624079.386265,
,,,,blink,,,624080.539998,,,266.0,,,,624080.4076825,
,,,,blink,,,624081.51052,,,267.0,,,,624081.128956,
,,,,blink,,,624081.780777,,,268.0,,,,624081.6078665,
,,,,blink,,,624082.302582,,,269.0,,,,624082.170044,
,,,,blink,,,624084.373639,,,270.0,,,,624084.2375025,
,,,,blink,,,624084.7315475,,,271.0,,,,624084.5889585,
,,,,blink,,,624085.4177504999,,,272.0,,,,624085.2418785,
,,,,blink,,,624085.546471,,,273.0,,,,624085.468838,
,,,,blink,,,624086.444228,,,274.0,,,,624086.363703,
,,,,blink,,,624086.947206,,,275.0,,,,624086.790395,
,,,,blink,,,624088.319947,,,276.0,,,,624088.1807395,
,,,,blink,,,624089.220634,,,277.0,,,,624089.0698065,
,,,,blink,,,624090.339695,,,278.0,,,,624090.1634945,
,,,,blink,,,624091.671403,,,279.0,,,,624091.5223775001,
,,,,blink,,,624092.9004210001,,,280.0,,,,624092.7579310001,
,,,,blink,,,624094.5626425,,,281.0,,,,624094.3999884999,
,,,,blink,,,624095.100527,,,282.0,,,,624094.9322265,
,,,,blink,,,624095.9557455,,,283.0,,,,624095.8208084999,
,,,,blink,,,624098.7882399999,,,284.0,,,,624098.6446219999,
,,,,blink,,,624100.335139,,,285.0,,,,624100.197725,
,,,,blink,,,624101.339971,,,286.0,,,,624101.185966,
,,,,blink,,,624102.337067,,,287.0,,,,624102.1904015,
,,,,blink,,,624103.267731,,,288.0,,,,624103.1025884999,
,,,,blink,,,624104.6722220001,,,289.0,,,,624104.534488,
,,,,blink,,,624104.931416,,,290.0,,,,624104.8073105,
,,,,blink,,,624106.4988185,,,291.0,,,,624106.3626514999,
,,,,blink,,,624108.867405,,,292.0,,,,624108.721671,
,,,,blink,,,624110.74822,,,293.0,,,,624110.6096854999,
,,,,blink,,,624112.347231,,,294.0,,,,624112.2063165,
,,,,blink,,,624112.793347,,,295.0,,,,624112.6634849999,
,,,,blink,,,624113.8160239999,,,296.0,,,,624113.6683595,
,,,,blink,,,624114.71594,,,297.0,,,,624114.5679875,
,,,,blink,,,624116.259817,,,298.0,,,,624116.117393,
,,,,blink,,,624116.522936,,,299.0,,,,624116.387767,
,,,,blink,,,624117.005232,,,300.0,,,,624116.9152785,
,,,,blink,,,624118.7031415,,,301.0,,,,624118.5623015,
,,,,blink,,,624119.538085,,,302.0,,,,624119.4014184999,
,,,,blink,,,624120.66943,,,303.0,,,,624120.5189380001,
,,,,blink,,,624121.889236,,,304.0,,,,624121.7532579999,
,,,,blink,,,624123.016039,,,305.0,,,,624122.8663545,
,,,,blink,,,624124.540764,,,306.0,,,,624124.3756744999,
,,,,blink,,,624126.927046,,,307.0,,,,624126.7735705,
,,,,blink,,,624127.8110435,,,308.0,,,,624127.505232,
,,,,blink,,,624127.995073,,,309.0,,,,624127.857622,
,,,,blink,,,624129.686578,,,310.0,,,,624129.5544385,
,,,,blink,,,624130.7443365001,,,311.0,,,,624130.6016945001,
,,,,blink,,,624131.167522,,,312.0,,,,624131.020971,
,,,,blink,,,624132.6024065,,,313.0,,,,624132.4649624999,
,,,,blink,,,624133.930106,,,314.0,,,,624133.7892509999,
,,,,blink,,,624135.577332,,,315.0,,,,624135.448115,
,,,,blink,,,624137.2596135,,,316.0,,,,624137.117843,
,,,,blink,,,624138.113917,,,317.0,,,,624137.964022,
,,,,blink,,,624138.9231664999,,,318.0,,,,624138.762838,
,,,,blink,,,624139.8478205,,,319.0,,,,624139.7158685001,
,,,,blink,,,624140.9167239999,,,320.0,,,,624140.78525,
,,,,blink,,,624142.583036,,,321.0,,,,624142.44216,
,,,,blink,,,624143.055902,,,322.0,,,,624142.920776,
,,,,blink,,,624143.410225,,,323.0,,,,624143.249722,
,,,,blink,,,624144.649824,,,324.0,,,,624144.503422,
,,,,blink,,,624144.951704,,,325.0,,,,624144.805251,
,,,,blink,,,624145.3565285,,,326.0,,,,624145.208823,
,,,,blink,,,624145.695741,,,327.0,,,,624145.569502,
,,,,blink,,,624147.5677135,,,328.0,,,,624147.4414695,
,,,,blink,,,624148.460923,,,329.0,,,,624148.2689115,
,,,,blink,,,624148.707585,,,330.0,,,,624148.610442,
,,,,blink,,,624149.035906,,,331.0,,,,624148.873911,
,,,,blink,,,624149.5294850001,,,332.0,,,,624149.4338875,
,,,,blink,,,624151.101545,,,333.0,,,,624150.9872345,
,,,,blink,,,624152.515122,,,334.0,,,,624152.3309565,
,,,,blink,,,624153.7487085001,,,335.0,,,,624153.605883,
,,,,blink,,,624154.001616,,,336.0,,,,624153.875396,
,,,,blink,,,624155.081074,,,337.0,,,,624154.921247,
,,,,blink,,,624155.9653,,,338.0,,,,624155.8058835,
,,,,blink,,,624157.023913,,,339.0,,,,624156.865192,
,,,,blink,,,624158.21693,,,340.0,,,,624158.0557655,
,,,,blink,,,624159.4315595,,,341.0,,,,624159.2773595001,
,,,,blink,,,624160.43174,,,342.0,,,,624160.2583425001,
,,,,blink,,,624161.399294,,,343.0,,,,624161.263667,
,,,,blink,,,624162.895843,,,344.0,,,,624162.7391949999,
,,,,blink,,,624163.287991,,,345.0,,,,624163.1270880001,
,,,,blink,,,624164.915783,,,346.0,,,,624164.765043,
,,,,blink,,,624166.134821,,,347.0,,,,624165.9671644999,
,,,,blink,,,624167.20365,,,348.0,,,,624167.0431895,
,,,,blink,,,624168.768049,,,349.0,,,,624168.609225,
,,,,blink,,,624169.4778935,,,350.0,,,,624169.329548,
,,,,blink,,,624170.368923,,,351.0,,,,624170.2132105,
,,,,blink,,,624171.477492,,,352.0,,,,624171.3257820001,
,,,,blink,,,624172.555093,,,353.0,,,,624172.4011075001,
,,,,blink,,,624174.8324165,,,354.0,,,,624174.6912545,
,,,,blink,,,624175.370905,,,355.0,,,,624175.2293324999,
,,,,blink,,,624176.5709325001,,,356.0,,,,624176.4257189999,
,,,,blink,,,624177.754774,,,357.0,,,,624177.5951765,
