start_gx,end_gx,blink_id,end_time,end_gy,mean_gx,mean_gy,sd,duration,rms,start_time,type,start_gy,amplitude,peak_velocity,end_point
,,254.0,624069.8594394999,,,,,,,624069.7212255,blink,,,,
,,255.0,624070.359179,,,,,,,624070.1879334999,blink,,,,
,,256.0,624070.65314,,,,,,,624070.512659,blink,,,,
,,257.0,624071.3905239999,,,,,,,624071.2509725001,blink,,,,
,,258.0,624071.820914,,,,,,,624071.681638,blink,,,,
,,259.0,624072.270842,,,,,,,624072.0986494999,blink,,,,
,,260.0,624073.2161655,,,,,,,624073.0683124999,blink,,,,
,,261.0,624074.4844185,,,,,,,624074.3497649999,blink,,,,
,,262.0,624076.234626,,,,,,,624076.073693,blink,,,,
,,263.0,624076.7387295,,,,,,,624076.587922,blink,,,,
,,264.0,624078.324708,,,,,,,624078.1781695,blink,,,,
,,265.0,624079.551563,,,,,,,624079.386265,blink,,,,
,,266.0,624080.539998,,,,,,,624080.4076825,blink,,,,
,,267.0,624081.51052,,,,,,,624081.128956,blink,,,,
,,268.0,624081.780777,,,,,,,624081.6078665,blink,,,,
,,269.0,624082.302582,,,,,,,624082.170044,blink,,,,
,,270.0,624084.373639,,,,,,,624084.2375025,blink,,,,
,,271.0,624084.7315475,,,,,,,624084.5889585,blink,,,,
,,272.0,624085.4177504999,,,,,,,624085.2418785,blink,,,,
,,273.0,624085.546471,,,,,,,624085.468838,blink,,,,
,,274.0,624086.444228,,,,,,,624086.363703,blink,,,,
,,275.0,624086.947206,,,,,,,624086.790395,blink,,,,
,,276.0,624088.319947,,,,,,,624088.1807395,blink,,,,
,,277.0,624089.220634,,,,,,,624089.0698065,blink,,,,
,,278.0,624090.339695,,,,,,,624090.1634945,blink,,,,
,,279.0,624091.671403,,,,,,,624091.5223775001,blink,,,,
,,280.0,624092.9004210001,,,,,,,624092.7579310001,blink,,,,
,,281.0,624094.5626425,,,,,,,624094.3999884999,blink,,,,
,,282.0,624095.100527,,,,,,,624094.9322265,blink,,,,
,,283.0,624095.9557455,,,,,,,624095.8208084999,blink,,,,
,,284.0,624098.7882399999,,,,,,,624098.6446219999,blink,,,,
,,285.0,624100.335139,,,,,,,624100.197725,blink,,,,
,,286.0,624101.339971,,,,,,,624101.185966,blink,,,,
,,287.0,624102.337067,,,,,,,624102.1904015,blink,,,,
,,288.0,624103.267731,,,,,,,624103.1025884999,blink,,,,
,,289.0,624104.6722220001,,,,,,,624104.534488,blink,,,,
,,290.0,624104.931416,,,,,,,624104.8073105,blink,,,,
,,291.0,624106.4988185,,,,,,,624106.3626514999,blink,,,,
,,292.0,624108.867405,,,,,,,624108.721671,blink,,,,
,,293.0,624110.74822,,,,,,,624110.6096854999,blink,,,,
,,294.0,624112.347231,,,,,,,624112.2063165,blink,,,,
,,295.0,624112.793347,,,,,,,624112.6634849999,blink,,,,
,,296.0,624113.8160239999,,,,,,,624113.6683595,blink,,,,
,,297.0,624114.71594,,,,,,,624114.5679875,blink,,,,
,,298.0,624116.259817,,,,,,,624116.117393,blink,,,,
,,299.0,624116.522936,,,,,,,624116.387767,blink,,,,
,,300.0,624117.005232,,,,,,,624116.9152785,blink,,,,
,,301.0,624118.7031415,,,,,,,624118.5623015,blink,,,,
,,302.0,624119.538085,,,,,,,624119.4014184999,blink,,,,
,,303.0,624120.66943,,,,,,,624120.5189380001,blink,,,,
,,304.0,624121.889236,,,,,,,624121.7532579999,blink,,,,
,,305.0,624123.016039,,,,,,,624122.8663545,blink,,,,
,,306.0,624124.540764,,,,,,,624124.3756744999,blink,,,,
,,307.0,624126.927046,,,,,,,624126.7735705,blink,,,,
