end_gx,type,sd,start_gx,mean_gx,rms,amplitude,mean_gy,end_time,blink_id,duration,start_time,end_gy,start_gy,peak_velocity,end_point
,blink,,,,,,,843194.3816735,298.0,,843194.2405395,,,,
,blink,,,,,,,843196.115306,299.0,,843196.0337735,,,,
,blink,,,,,,,843205.184344,300.0,,843205.050883,,,,
,blink,,,,,,,843205.594461,301.0,,843205.4496444999,,,,
,blink,,,,,,,843208.4914905,302.0,,843208.303518,,,,
,blink,,,,,,,843210.692208,303.0,,843210.5729835,,,,
,blink,,,,,,,843211.096309,304.0,,843210.969818,,,,
,blink,,,,,,,843215.956323,305.0,,843215.787702,,,,
,blink,,,,,,,843216.369189,306.0,,843216.1859925,,,,
,blink,,,,,,,843223.6245909999,307.0,,843223.4003575,,,,
,blink,,,,,,,843226.026883,308.0,,843225.951121,,,,
,blink,,,,,,,843231.836532,309.0,,843231.7393095,,,,
,blink,,,,,,,843257.0477015,310.0,,843256.93891,,,,
,blink,,,,,,,843263.5431325,311.0,,843263.4466465,,,,
,blink,,,,,,,843264.3400325,312.0,,843264.0528525,,,,
,blink,,,,,,,843264.6146355,313.0,,843264.515932,,,,
,blink,,,,,,,843268.6841625001,314.0,,843268.648363,,,,
,blink,,,,,,,843268.96457,315.0,,843268.8198325,,,,
,blink,,,,,,,843269.2181875,316.0,,843269.1533659999,,,,
,blink,,,,,,,843269.4283065,317.0,,843269.3103659999,,,,
,blink,,,,,,,843275.0031254999,318.0,,843274.7972309999,,,,
,blink,,,,,,,843276.003131,319.0,,843275.797205,,,,
,blink,,,,,,,843281.524591,320.0,,843281.3415565,,,,
,blink,,,,,,,843295.0705895,321.0,,843294.9770045,,,,
,blink,,,,,,,843295.4745225,322.0,,843295.3491435,,,,
,blink,,,,,,,843296.147797,323.0,,843296.0237255,,,,
,blink,,,,,,,843298.1439085,324.0,,843298.0422765,,,,
,blink,,,,,,,843320.757354,325.0,,843320.6331475,,,,
,blink,,,,,,,843321.194896,326.0,,843321.0466664999,,,,
,blink,,,,,,,843321.726754,327.0,,843321.7058359999,,,,
,blink,,,,,,,843332.4966075,328.0,,843332.3456775,,,,
,blink,,,,,,,843334.2362405,329.0,,843334.1385814999,,,,
,blink,,,,,,,843338.141192,330.0,,843338.0398639999,,,,
,blink,,,,,,,843339.3602509999,331.0,,843339.275181,,,,
,blink,,,,,,,843339.7193575,332.0,,843339.6375825,,,,
,blink,,,,,,,843344.2895529999,333.0,,843344.102032,,,,
,blink,,,,,,,843350.5785235,334.0,,843350.4903875,,,,
,blink,,,,,,,843354.5544324999,335.0,,843354.4846715,,,,
,blink,,,,,,,843360.6692275,336.0,,843360.5856844999,,,,
,blink,,,,,,,843361.261566,337.0,,843361.0850205,,,,
,blink,,,,,,,843362.7053304999,338.0,,843362.5719,,,,
,blink,,,,,,,843364.2956955,339.0,,843364.1304435,,,,
,blink,,,,,,,843369.055429,340.0,,843368.874698,,,,
,blink,,,,,,,843377.6929949999,341.0,,843377.5272339999,,,,
,blink,,,,,,,843378.56393,342.0,,843378.420986,,,,
,blink,,,,,,,843382.6606749999,343.0,,843382.527708,,,,
,blink,,,,,,,843384.393284,344.0,,843384.2462259999,,,,
,blink,,,,,,,843385.338525,345.0,,843385.12381,,,,
,blink,,,,,,,843402.3053025,346.0,,843402.1462475,,,,
,blink,,,,,,,843407.549475,347.0,,843407.4115945001,,,,
,blink,,,,,,,843419.6675135,348.0,,843419.566454,,,,
,blink,,,,,,,843426.7962094999,349.0,,843426.6589394999,,,,
,blink,,,,,,,843432.162102,350.0,,843432.0603974999,,,,
,blink,,,,,,,843436.417561,351.0,,843436.2779085,,,,
,blink,,,,,,,843441.1818205,352.0,,843441.070692,,,,
,blink,,,,,,,843441.426218,353.0,,843441.324901,,,,
,blink,,,,,,,843442.3299235,354.0,,843442.236512,,,,
,blink,,,,,,,843444.0401999999,355.0,,843443.9191864999,,,,
,blink,,,,,,,843445.937035,356.0,,843445.791385,,,,
,blink,,,,,,,843447.1618669999,357.0,,843447.0345315,,,,
,blink,,,,,,,843460.2269174999,358.0,,843460.0721735,,,,
,blink,,,,,,,843484.8643165,359.0,,843484.704147,,,,
,blink,,,,,,,843490.3406379999,360.0,,843490.2125575,,,,
,blink,,,,,,,843500.9580375,361.0,,843500.2647994999,,,,
